Taxa.broad,Taxa.med,Taxa,N_combustions,Ash_perc,H2O_perc,Dry_KJg_mean,Dry_KJg_SD,Ash_KJg,Wet_KJg,Shell_perc
Crustacea,Stomatopoda,Squilla empusa,15,28,61,15.3,1.1,21,5.8,NA
Crustacea,Amphipoda,Hyperia galba,8,26,80,18.6,1.2,24.7,3.6,NA
Crustacea,Amphipoda,Ampelisca agassizi,7,47,22,10.5,0.6,18.5,8.8,NA
Crustacea,Amphipoda,Unciola irrorata,4,41,20,13.9,0.7,33,11.1,NA
Crustacea,Amphipoda,Gammarus annulatus,8,67,88,13.7,0.6,18.4,1.7,NA
Crustacea,Amphipoda,Leptocheirus pinguis,4,51,64,5.9,0.3,12,2,NA
Crustacea,Mysidacea,Neomysis americana,4,16.1,2,NA,NA,NA,NA,NA
Crustacea,Euphausidacea,Meganyctiphanes norvegica,15,22,82,19.4,0.7,24.9,3.4,NA
Crustacea,Decapoda,Penaeus aztecus,5,16,51,18.2,0.5,21.6,8.9,NA
Crustacea,Decapoda,Sicyon atypica,5,26,66,14.4,0.2,19.4,4.9,NA
Crustacea,Decapoda,Pasiphaea tarda,5,18,NA,18.7,0.7,22.7,NA,NA
Crustacea,Decapoda,Paleomonetes vulgaris,8,17,75,14.7,0.6,21.9,4.6,NA
Crustacea,Decapoda,Dichelopandalus leptocerus,28,22,70,18.7,0.6,24.5,5.5,NA
Crustacea,Decapoda,Crangon septemspinosa,26,28,79,16.2,0.6,18.4,3.7,NA
Crustacea,Decapoda,Homarus americanus,5,36,68,13.8,1.4,21.6,4.8,NA
Crustacea,Decapoda,Pagurus acadianus,5,28,63,18.5,1.6,22.7,6.9,NA
Crustacea,Decapoda,Pagurus bernhardus,4,34,57,14.1,1.1,21.3,6,NA
Crustacea,Decapoda,Pagurus pollicarpus,5,41,63,18.4,0.2,30.3,6.6,NA
Crustacea,Decapoda,Hyas araneus,10,55,67,8.5,0.4,18,2.8,NA
Crustacea,Decapoda,Libinia emarginata,11,45,63,12.6,0.5,19.9,5.4,NA
Crustacea,Decapoda,Pelia mutica,3,51,66,10.3,0.1,21.1,3.3,NA
Crustacea,Decapoda,Cancer irroratus,15,41,70,12.8,0.9,20.7,3.7,NA
Crustacea,Decapoda,Eurypanopeus depressus,5,50,NA,4.5,1.9,9,NA,NA
Echinodermata,Holothuroidea,Cucumaria frondosa,3,15,76,14.1,0.6,16.6,3.4,NA
Echinodermata,Holothuroidea,Thyone scabra,3,71,61,6,0.2,20.6,2.3,NA
Echinodermata,Holothuroidea,Caudina arenata,5,37,42,14.9,0.1,23.6,8.6,NA
Echinodermata,Echinoidea,Arbacia punctulata,7,90,78,2.8,0.3,28,0.6,NA
Echinodermata,Echinoidea,Strongylocentrotus droebachiensis,10,82,60,5.1,0.6,28,2,NA
Echinodermata,Echinoidea,Echinarachnius parma,26,85,45,3.6,0.6,24,2,NA
Echinodermata,Echinoidea,Moira atropos,4,85,80,3.5,0.2,23.3,0.7,NA
Echinodermata,Stelleroidea,Ctenodiscus crispatus,5,61,68,9.2,0.2,23.6,2.8,NA
Echinodermata,Stelleroidea,Henricia sp.,2,43,65,9.8,1.2,17.2,3.4,NA
Echinodermata,Stelleroidea,Asteria forbesi,3,65,70,7.2,0.3,20.5,2.2,NA
Echinodermata,Stelleroidea,Leptasterias tenera,4,49,71,10.7,0.4,21,3.1,NA
Echinodermata,Stelleroidea,Ophioderma brevispina,3,79,42,3.7,0.2,17.6,2.1,NA
Echinodermata,Stelleroidea,Ophiopholis aculeata,7,68,62,4.7,0.4,14.7,1.8,NA
Chordata,Tunicata,Amaroucium pellucidum,4,58,86,9.7,0.8,23.1,1.4,NA
Chordata,Tunicata,Ascidia callosa,5,70,NA,15.2,1,24.8,NA,NA
Chordata,Tunicata,Boltenia ovifera,6,28,88,14.7,0.6,20.4,3.2,NA
Chordata,Tunicata,Molgula manhattensis,3,63,NA,3.4,0.9,9.2,NA,NA
Chordata,Tunicata,Salpidae,2,51,95,8.9,0.8,18.2,0.4,NA
Chordata,Chondrichthyes,Isurus oxyrhinchus,5,5,NA,20.6,0.9,21.7,NA,NA
Chordata,Chondrichthyes,Lamna nasus,5,6,NA,20,0.5,21.2,NA,NA
Chordata,Chondrichthyes,Carcharhinus plumbeus,10,7,NA,19.9,0.8,21.4,NA,NA
Chordata,Chondrichthyes,Prionace glauca,11,7,NA,18.4,0.5,20,NA,NA
Chordata,Chondrichthyes,Squalus acanthias,31,6,67,25.8,0.8,30.6,8.6,NA
Chordata,Chondrichthyes,Raja erinacea,10,16,82,17.6,0.7,21,3.2,NA
Chordata,Osteichthyes,Conger oceanicus,6,8,67,29.8,1.7,32.4,9.8,NA
Chordata,Osteichthyes,Ophichthus cruentifier,4,14,71,19.8,0.8,22.9,5.8,NA
Chordata,Osteichthyes,Alosa sapidissima,5,11,75,19.6,0.5,22.1,4.9,NA
Chordata,Osteichthyes,Alosa aestivalis,15,12,69,22.2,0.7,25,7.7,NA
Chordata,Osteichthyes,Alosa mediocris,5,11,74,21.1,0.4,23.8,5.5,NA
Chordata,Osteichthyes,Alosa pseudoharengus,24,12,71,21.7,0.5,24.5,6.4,NA
Chordata,Osteichthyes,Clupea harengus,20,8,57,25.1,2.3,27.2,10.6,NA
Chordata,Osteichthyes,Brevoortia tyrannus,10,13,65,21.4,0.4,24.6,7.5,NA
Chordata,Osteichthyes,Etrumeus teres,17,14,73,20.4,0.5,23.6,5.5,NA
Chordata,Osteichthyes,Opisthonema oglinum,5,11,74,24.8,0.9,27.7,6.4,NA
Chordata,Osteichthyes,Sardinella aurita,5,14,70,19.9,0.1,23.1,6,NA
Chordata,Osteichthyes,Anchoa hepsetus,24,16,71,19.9,0.4,23.6,5.8,NA
Chordata,Osteichthyes,Anchoa mitchilli,5,14,72,21.2,0.5,24.6,5.9,NA
Chordata,Osteichthyes,Synodus foetens,5,17,75,18.3,0.5,22.1,4.6,NA
Chordata,Osteichthyes,Lophius americanus,6,13,91,18.5,0.8,21.3,1.7,NA
Chordata,Osteichthyes,Gadus morhua,9,16,78,18.2,0.3,21.6,4.2,NA
Chordata,Osteichthyes,Pollachius virens,5,13,74,19.2,1.8,21.9,5,NA
Chordata,Osteichthyes,Urophycis chuss,10,14,80,19.4,0.5,22.6,3.8,NA
Chordata,Osteichthyes,Urophycis regia,3,10,78,21.3,0.7,23.6,4.7,NA
Chordata,Osteichthyes,Urophycis tenuis,3,14,67,19.2,0.3,22.3,6.3,NA
Chordata,Osteichthyes,Melanogrammus aeglefinus,4,17,78,20.3,0.7,24.3,4.5,NA
Chordata,Osteichthyes,Enchelyopus cimbrius,5,16,80,18,0.6,21.6,3.6,NA
Chordata,Osteichthyes,Merluccius bilinearis,10,13,79,21.3,0.3,24.6,4.6,NA
Chordata,Osteichthyes,Macrozoarces americanus,9,13,76,19.2,0.2,22,4.7,NA
Chordata,Osteichthyes,Scomberesox saurus,5,9,62,22.3,0.7,24.6,8.5,NA
Chordata,Osteichthyes,Menidia menidia,10,13,66,21.2,0.7,24.4,7.3,NA
Chordata,Osteichthyes,Sebastes marinus,15,20,75,18.5,1.1,23.1,4.4,NA
Chordata,Osteichthyes,Prionotus carolinus,5,22,75,17.7,1.1,22.7,4.4,NA
Chordata,Osteichthyes,Hemitripterus americanus,6,16,86,18.1,0.5,21.5,2.5,NA
Chordata,Osteichthyes,Myoxocephalus octodecemspinosus,5,17,74,20.8,0.6,25.1,5.4,NA
Chordata,Osteichthyes,Triglops murrayi,5,16,80,18.1,0.6,21.5,3.6,NA
Chordata,Osteichthyes,Triglops nybelini,5,14,73,19.4,1.2,22.5,5.2,NA
Chordata,Osteichthyes,Citharichthys arctifrons,5,14,78,19.4,0.2,22.5,4.3,NA
Chordata,Osteichthyes,Paralichthys oblongus,10,13,75,22,0.3,25.4,5.5,NA
Chordata,Osteichthyes,Scophthalmus aquosus,3,13,86,22.2,0.2,25.4,3.1,NA
Chordata,Osteichthyes,Hippoglossoides platessoides,3,15,77,17.7,0.2,21,4.1,NA
Chordata,Osteichthyes,Limanda ferruginea,12,16,75,17.6,0.6,20.9,4.4,NA
Chordata,Osteichthyes,Liopsetta putnami,5,17,78,17.1,0.1,20.7,3.8,NA
Chordata,Osteichthyes,Pseudopleuronectes americanus,5,15,78,16.4,0.6,19.4,3.6,NA
Chordata,Osteichthyes,Symphurus plagiusa,4,16,67,19,0.7,22.7,6.3,NA
Chordata,Osteichthyes,Sphoeroides maculatus,4,15,74,19.4,1.2,22.8,5.1,NA
Chordata,Osteichthyes,Pomatomus saltatrix,5,20,77,20.8,0.8,25,4.8,NA
Chordata,Osteichthyes,Caranx chrysos,5,16,68,17.7,0.3,21.1,5.7,NA
Chordata,Osteichthyes,Chloroscombrus chrysurus,5,14,63,23.9,0.5,27.9,8.8,NA
Chordata,Osteichthyes,Selar crumenopthalmus,5,14,70,16.4,6.9,19,4.9,NA
Chordata,Osteichthyes,Seriola dumerili,3,15,75,18.4,0.4,21.5,4.6,NA
Chordata,Osteichthyes,Decapterus punctatus,5,13,68,18.8,0.4,21.6,6,NA
Chordata,Osteichthyes,Stenotomus chrysops,14,16,73,21.5,0.2,25.6,6.1,NA
Chordata,Osteichthyes,Cynoscion regalis,4,13,76,20.1,0.7,23,4.8,NA
Chordata,Osteichthyes,Leiostomus xanthurus,11,17,65,20.1,0.5,24,7,NA
Chordata,Osteichthyes,Tautogolabrus adspersus,5,11,70,22.2,0.5,24.9,6.6,NA
Chordata,Osteichthyes,Lumpenus maculatus,8,12,71,20.2,0.6,22.2,5.6,NA
Chordata,Osteichthyes,Ammodytes americanus,20,12,69,21.7,0.6,24.8,6.8,NA
Chordata,Osteichthyes,Scomber japonicus,15,12,71,21.6,0.2,24.4,6.2,NA
Chordata,Osteichthyes,Scomber scombrus,28,8,75,24.1,1.9,26.2,6,NA
Chordata,Osteichthyes,Thunnus albacares,6,NA,NA,23.4,0.6,NA,NA,NA
Chordata,Osteichthyes,Acanthocybium solanderi,6,6,NA,23.4,1.5,24.9,NA,NA
Chordata,Osteichthyes,Xiphias gladius,5,4,NA,27.5,0.6,28.8,NA,NA
Chordata,Osteichthyes,Peprilus triacanthus,25,11,74,24.2,0.3,27.2,6.2,NA
Chordata,Osteichthyes,Peprilus alepidotus,5,11,73,22.9,0.4,25.8,6.2,NA
Chordata,Cetacea,Lagenorhynchus acutus,8,1,NA,33.3,0.7,33.6,NA,NA
Porifera,Porifera,Suberites ficus,3,52,87,11.6,0.4,23.9,1.5,NA
Cnidaria,Hydrozoa,Syncoryne sp.,3,61,75,7.4,0.4,19,1.9,NA
Cnidaria,Scyphozoa,Cyanea cappilata,5,45,99,11.8,0.7,21.5,0.1,NA
Cnidaria,Scyphozoa,Aurelia aurita,6,48,95,8.8,0.7,16.3,0.4,NA
Cnidaria,Anthozoa,Renilla reniformis,3,40,58,6.4,0.1,10.7,2.7,NA
Cnidaria,Anthozoa,Metridium senile,3,11,84,18,0.1,20.3,2.9,NA
Cnidaria,Anthozoa,Ceriantheopsis americanus,12,14,75,18.4,0.6,21.3,4.7,NA
Rhynchocoela,Rhynchocoela,Cerebratulus sp.,7,10,78,23.2,0.4,23.3,4.6,NA
Bryozoa,Bryozoa,Bugula flabellata,5,69,72,8.2,0.7,26.5,2.3,NA
Brachiopoda,Brachiopoda,Terebratulina septentrionalis,4,91,67,7.6,0.7,NA,2.5,24
Mollusca,Gastropoda,Polinices heros,8,10,67,19.9,0.7,22,5.9,46
Mollusca,Gastropoda,Buccinum undatum,8,10,57,18.7,0.9,19.9,7.7,60
Mollusca,Gastropoda,Colus stimpsoni,4,13,72,18.5,0.5,20.6,5.2,61
Mollusca,Gastropoda,Colus pygmaeus,4,88,73,3.5,0.2,22.7,0.9,NA
Mollusca,Gastropoda,Neptunea lyrata,7,13,NA,18.2,0.3,21,NA,NA
Mollusca,Gastropoda,Busycon carica,3,10,73,18.3,0.01,20.2,4.9,64
Mollusca,Gastropoda,Busycon canaliculatum,5,9,73,19.9,0.3,21.9,5.4,50
Mollusca,Gastropoda,Lamelledorididae,3,21,78,19.4,0.04,24.6,4.3,NA
Mollusca,Bivalvia,Nucula proxima,3,15,84,20.4,0.2,24,3.3,43
Mollusca,Bivalvia,Nucula proxima,4,84,40,3.7,0.3,23.1,2.2,NA
Mollusca,Bivalvia,Modiolus modiolus,8,12,78,19.8,0.7,22.6,4.3,52
Mollusca,Bivalvia,Chlamys islandicus,3,16,73,19.5,0.4,23.2,5.3,50
Mollusca,Bivalvia,Placopecten magellanicus,5,15,78,18.5,0.4,21.8,3,44
Mollusca,Bivalvia,Astarte undata,14,12,67,18,0.8,21.3,6.2,80
Mollusca,Bivalvia,Cyclocardia borealis,8,27,90,14,0.8,19.2,1.3,74
Mollusca,Bivalvia,Arctica islandica,294,20,88,15.4,0.2,19.7,1.6,48
Mollusca,Bivalvia,Spisula solidissima,21,18,81,16.5,0.3,20.2,2.9,42
Mollusca,Bivalvia,Ensis directus,3,NA,83,16.8,0.1,NA,2.9,30
Mollusca,Bivalvia,Periploma leanum,2,NA,74,4.8,0.2,NA,0.3,NA
Mollusca,Cephalopoda,Illex illecebrosus,10,7,69,22,0.7,23.6,7.1,NA
Mollusca,Cephalopoda,Loligo pealei,14,8,72,20.4,0.5,21.4,5.6,NA
Mollusca,Cephalopoda,Lolliguncula brevis,3,14,82,21.3,0.1,24.5,3.8,NA
Mollusca,Cephalopoda,Octopus vulgaris,11,19,NA,17.9,1.6,20,NA,NA
Annelida,Polychaeta,Aphrodita hastata,18,34,81,13.4,0.6,20.1,2.4,NA
Annelida,Polychaeta,Glycera americana,3,12,79,18.8,0.2,21.8,4,NA
Annelida,Polychaeta,Ophioglycera gigantea,3,12,83,19.6,0.5,23.3,3.3,NA
Annelida,Polychaeta,Nephtys incisa,13,16,74,17.9,1,22.3,4.4,NA
Annelida,Polychaeta,Aglaophamus igalis,5,21,76,15.9,6.3,20.2,3.8,NA
Annelida,Polychaeta,Ophelia bicornis,5,64,NA,7.5,0.6,21.1,NA,NA
Annelida,Polychaeta,Ophelia denticulata,5,56,64,13.5,0.8,30.3,4.9,NA
Annelida,Polychaeta,Lumbrineris fragilis,2,NA,65,21.3,0.1,NA,4.7,NA
Annelida,Polychaeta,Terebellides stroemis,3,12,58,16.4,0.1,18.6,6.9,NA
Annelida,Polychaeta,Pherusa affinis,21,43,39,14.4,0.9,23.7,7.6,NA
Annelida,Polychaeta,Chone infundibuliformis,5,11,76,16,0.4,18,3.8,NA
