"GL_pyscinam","haddock_N","haddock_M","haddock_p","haddock_d","cod_N","cod_M","cod_p","cod_d","bass_N","bass_M","bass_p","bass_d","herring_N","herring_M","herring_p","herring_d"
"Clupea harengus",20,1026.85,2.14800246334684,14443,266,49720.13,10.309674696193,15933,NA,NA,NA,NA,5,7.7,0.0920754157444178,14975
"Clupeidae",24,729,1.52494891734902,14443,199,27645.8,5.73247102765043,15933,NA,NA,NA,NA,11,13.35,0.159637246777659,14975
"Peprilus triacanthus",3,77.55,0.162221932154207,14443,11,532.68,0.110453402216931,15933,2,24.89,0.846636075744846,1846,NA,NA,NA,NA
"Ammodytes spp.",55,1071.47,2.24134021463917,14443,395,15714.73,3.25851429267191,15933,7,34.1,1.1599152343471,1846,40,119.87,1.43338702406277,14975
"Macrozoarces americanus",3,32.34,0.0676499972387756,14443,54,3378.26,0.70049619015801,15933,NA,NA,NA,NA,NA,NA,NA,NA
"Merluccius bilinearis",38,960.69,2.0096065506283,14443,463,43938.08,9.11074270271024,15933,NA,NA,NA,NA,20,98.53,1.17820658614253,14975
"Other hakes",1,1.76,0.00368163250279051,14443,67,9754.61,2.02265874783979,15933,1,33,1.12249861388429,1846,1,0.33,0.00394608924618933,14975
"Gadiformes",5,159.5,0.33364794556539,14443,144,17568.65,3.64293227614794,15933,3,25.3,0.86058227064462,1846,2,0.99,0.011838267738568,14975
"Cottidae",14,32.81,0.0686331604639527,14443,165,9598.3,1.99024722253279,15933,NA,NA,NA,NA,NA,NA,NA,NA
"Pleuronectiformes",6,9.06,0.0189520400427739,14443,106,8360.13,1.73350754951534,15933,3,1.47,0.0500022109821183,1846,NA,NA,NA,NA
"Scombridae",3,447.15,0.935364757740214,14443,45,8719.26,1.80797464108658,15933,NA,NA,NA,NA,NA,NA,NA,NA
"Other fish",149,1089.41,2.27886776412785,14443,1025,32473.51,6.73351667309741,15933,50,332.55,11.3117246680976,1846,31,38.76,0.463486118734238,14975
"Unidentified fish",75,304.53,0.637027014815224,14443,1895,67667.08,14.0310490427372,15933,30,45.75,1.55619126015776,1846,31,29.41,0.351680256758874,14975
"Fish larvae",7,2.31,0.00483214265991254,14443,6,9.73,0.0020175557625042,15933,NA,NA,NA,NA,44,55.97,0.669280651846112,14975
"Fish eggs",16,281.98,0.589856098373221,14443,86,3601.87,0.746862648950771,15933,NA,NA,NA,NA,1,0.11,0.00131536308206311,14975
"Loligo spp.",2,11,0.0230102031424407,14443,15,2856.2,0.592244888886382,15933,5,27.94,0.950382159755363,1846,1,0.77,0.00920754157444178,14975
"Cephalopoda",40,141.43,0.295848457312308,14443,177,2016.96,0.418225002131601,15933,17,38.25,1.30107793882042,1846,2,3.09,0.0369497447597728,14975
"Crangonidae",315,135.66,0.283778559845773,14443,517,945.14,0.195978689966415,15933,33,5.48,0.186402800123815,1846,36,48.59,0.581031746885878,14975
"Euphausiidae",435,1130.47,2.36475857694863,14443,543,2688.53,0.557477820571986,15933,31,57.15,1.94396350859052,1846,1096,2488.15,29.7529150239575,14975
"Pandalidae",295,596.21,1.24717392868678,14443,1676,11182.59,2.31875630978642,15933,12,26.33,0.895617833441615,1846,205,588.7,7.03958405827776,14975
"Mysidacea",122,277.9,0.581321404844024,14443,166,657.77,0.136391331336319,15933,17,0.36,0.0122454394241922,1846,190,270.53,3.23495613264121,14975
"Crustacean shrimp",723,932.48,1.95059583875119,14443,1296,6884.54,1.42753785705968,15933,37,49.56,1.68578882739713,1846,456,637.94,7.62838840519401,14975
"Crustacea",378,305.47,0.638993341265578,14443,399,1151.45,0.238757922172196,15933,80,26.62,0.905482215199992,1846,192,73.52,0.879140852666181,14975
"Zooplankton",58,27.58,0.0576928547880468,14443,59,15.18,0.00314763581447212,15933,24,0.54,0.0183681591362883,1846,1567,1086.6,12.9933956815434,14975
"Cancridae",366,392.95,0.821987211347461,14443,1663,40930.86,8.48718319190675,15933,231,793.76,26.9998333259634,1846,NA,NA,NA,NA
"Decapoda crabs",531,752.03,1.5731239153827,14443,1480,18305.04,3.79562578981191,15933,212,401.11,13.643800576216,1846,NA,NA,NA,NA
"Decapoda shrimp",262,615.96,1.28848770251071,14443,435,2779.32,0.576303502758805,15933,18,15.32,0.521111477718403,1846,33,74.27,0.888109237316611,14975
"Paguroidea",289,330,0.690306094273221,14443,906,10583.81,2.19459679904929,15933,58,74.03,2.51813855714708,1846,NA,NA,NA,NA
"Hyperiidae",125,173.62,0.363184679053687,14443,66,112.86,0.0234019880119449,15933,9,5.25,0.178579324936137,1846,359,386.28,4.61907683035762,14975
"Gammaridae",2870,3548.58,7.42304969701838,14443,1020,2202.12,0.456618694319193,15933,139,11.06,0.376207111198795,1846,319,443.01,5.29744544531617,14975
"Amphipoda",506,1379.55,2.88579324955946,14443,540,3437.33,0.712744599088239,15933,13,0.9,0.0306135985604806,1846,59,127.4,1.52342960595309,14975
"Isopoda",365,175.76,0.367661209483216,14443,357,791.43,0.16410628541816,15933,18,12.6,0.428590379846728,1846,2,13.2,0.157843569847573,14975
"Bivalvia",1439,1810.7,3.78768862091067,14443,933,25759.26,5.34128915219362,15933,49,134.08,4.56074588332137,1846,NA,NA,NA,NA
"Gastropoda",432,372.19,0.778560682507727,14443,503,10018.21,2.0773172986102,15933,28,44.4,1.51027086231704,1846,46,45.22,0.540733805189944,14975
"Mollusca",265,609.18,1.27430505002837,14443,266,4952.6,1.02694210373878,15933,24,125.11,4.25563035100191,1846,NA,NA,NA,NA
"Echinodermata",777,1464.32,3.0631182423217,14443,116,985.62,0.204372385471674,15933,5,4.07,0.138441495712395,1846,NA,NA,NA,NA
"Ophiuroidea",2745,11655.7,24.3818204333951,14443,567,5206.4,1.07956858395703,15933,39,44.95,1.52897917254845,1846,NA,NA,NA,NA
"Holothuroidea",119,339.97,0.711161705666869,14443,168,1979.81,0.410521795905801,15933,5,17.02,0.578937163888199,1846,NA,NA,NA,NA
"Hydrozoa",70,49.55,0.103650505973449,14443,15,10.43,0.00216270365908724,15933,5,1.1,0.0374166204628096,1846,2,0.62,0.00741386464435572,14975
"Anthozoa",136,855.01,1.78854125352893,14443,163,1783.35,0.369785001959082,15933,5,6.43,0.218717154159878,1846,1,1.65,0.0197304462309467,14975
"Cnidarians",7,127.84,0.267420397248147,14443,4,5.45,0.00113008005196792,15933,5,6.38,0.217016398684296,1846,NA,NA,NA,NA
"Ctenophora",39,97.19,0.20330560394671,14443,26,133.25,0.0276299388852708,15933,2,1.19,0.0404779803188576,1846,9,8.67,0.103674526558974,14975
"Polychaeta",3081,4200.28,8.78629964137552,14443,1167,9854.89,2.04345222079599,15933,109,218.61,7.43604309034073,1846,9,4.19,0.050103375580404,14975
"Worms",171,37.84,0.079155098809996,14443,161,199.5,0.0413671505261653,15933,5,1.74,0.0591862905502624,1846,23,29.26,0.349886579828788,14975
"Other invertebrates",416,492.01,1.02920454982839,14443,76,275.63,0.0571530210502603,15933,53,42.83,1.45686714038376,1846,181,205.12,2.45279341266168,14975
"Animal remains",4397,6869.16,14.3691606379934,14443,1770,8518.37,1.76631926830862,15933,244,183.51,6.24211274648199,1846,2685,1447.52,17.3092215322545,14975
"Other",26,46.3,0.0968520368631822,14443,37,138.69,0.028757945395859,15933,1,0.22,0.00748332409256192,1846,9,4.36,0.0521362094345015,14975
"Miscellaneous",912,1620.95,3.39076261670357,14443,463,1792.56,0.371694733569839,15933,23,8.15,0.277223142519907,1846,4,1.22,0.0145885723647,14975
"Empty",3211,0,0,14443,3110,0,0,15933,747,0,0,1846,8074,0,0,14975
NA,2,3.63,0.00759336703700543,14443,NA,NA,NA,NA,NA,NA,NA,NA,3,7.81,0.0933907788264809,14975
"Lepophidium profundorum",NA,NA,NA,NA,8,789.97,0.163803548376716,15933,3,32.56,1.10753196569916,1846,NA,NA,NA,NA
"Rajiformes",NA,NA,NA,NA,38,1764.1,0.365793434803048,15933,NA,NA,NA,NA,NA,NA,NA,NA
"Illex spp.",NA,NA,NA,NA,10,1874.68,0.388722655380409,15933,1,24.2,0.823165650181811,1846,NA,NA,NA,NA
